,INFY,YESBANK,SUNPHARMA,MARUTI,KOTAKBANK,INDUSINDBK,AXISBANK,RELIANCE,TCS,LT,SBIN,HDFC,ICICIBANK,TATASTEEL,HDFCBANK,ITC,TATAMOTORS,VEDL,HINDUNILVR,ADANIPORTS,M&M,BHARTIARTL,BAJAJ-AUTO,ASIANPAINT,WIPRO,HEROMOTOCO,NTPC,COALINDIA,ONGC,POWERGRID,TATAMTRDVR
93,572.664978,342.044708,512.0057370000001,8589.530273,1243.915283,1870.231689,534.950012,965.891968,1696.3026120000002,1370.987061,246.5,1898.274414,286.19754,585.474548,1967.176147,276.616943,335.049988,285.350006,1479.8342289999998,409.081299,878.4626460000001,398.0,2858.281982,1207.177856,274.149994,3573.517578,168.070099,267.649994,182.170181,206.749741,188.199997
94,563.9541019999999,337.9599,509.961884,8621.708984,1240.766846,1853.1154789999998,541.25,961.7177730000001,1702.914307,1347.635376,250.0,1889.1500239999998,305.827881,585.671021,1954.109619,277.058502,332.100006,282.950012,1484.002686,410.275269,858.6238400000001,400.75,2833.4916989999997,1199.9123539999998,272.299988,3575.081543,168.809402,268.549988,181.525238,209.115402,189.600006
95,566.8093259999999,342.389252,504.77752699999996,8561.234375,1247.713257,1857.33252,548.599976,969.3208619999999,1726.668579,1355.732056,248.80000299999998,1880.7198489999998,303.70169100000004,591.860291,1966.4309079999998,276.96038799999997,341.350006,283.350006,1484.8959960000002,410.374786,853.118591,402.600006,2816.3442379999997,1218.325073,270.5,3575.766113,167.77436799999998,267.700012,181.475616,208.671844,196.850006
96,565.0187990000001,339.288696,495.455658,8555.338867,1246.613892,1871.422485,547.650024,974.687744,1708.704468,1346.796143,247.94999700000002,1880.3726809999998,303.602783,583.313171,1977.062866,274.605377,333.350006,279.850006,1483.258301,407.588867,849.498047,412.25,2770.830078,1208.96936,269.799988,3561.9807130000004,165.753586,268.899994,186.68473799999998,204.975479,198.25
97,571.52771,344.456268,470.43112199999996,8585.501953,1264.8045650000001,1879.459595,553.200012,982.439941,1712.5842289999998,1369.55542,250.899994,1905.415161,307.65744,595.98645,1997.8798829999998,278.579468,330.75,286.850006,1495.0196529999998,409.578796,861.99646,385.700012,2759.70874,1283.515991,271.899994,3535.485107,165.16214,270.549988,185.84136999999998,204.236206,194.899994
98,575.689575,339.239441,472.62448099999995,8562.757813,1268.3027339999999,1899.602051,552.25,978.812256,1700.786255,1362.939819,253.350006,1914.043823,306.520172,599.3757929999999,2008.362793,279.119171,324.149994,282.350006,1493.6796880000002,405.748169,843.2487179999999,381.5,2777.591064,1292.3242189999999,271.5,3567.94458,169.302277,269.700012,185.990189,206.059753,190.899994
99,577.1171879999999,340.223785,466.841949,8573.319336,1281.4960939999999,1902.62854,549.450012,973.346008,1723.3924559999998,1358.74353,248.600006,1914.043823,304.591705,613.080566,2026.2485350000002,276.518799,310.25,280.950012,1504.6469730000001,406.69338999999997,841.810486,379.399994,2770.830078,1303.8696289999998,270.399994,3571.757568,167.72508200000001,264.0,187.280075,210.741806,181.100006
100,575.9073490000001,344.013306,470.43112199999996,8545.955078,1281.096313,1911.955566,549.349976,950.586426,1729.8853760000002,1347.5366210000002,243.149994,1899.117432,294.60348500000003,611.115723,2011.5921629999998,280.591064,310.399994,278.549988,1562.411133,401.867798,846.125427,375.350006,2751.674072,1314.5688480000001,274.299988,3496.6218259999996,167.182922,264.700012,185.593307,210.347519,183.5
101,573.43927,339.879272,478.656311,8557.5,1268.352783,1898.4114989999998,539.5,939.355713,1728.469971,1347.092407,243.30000299999998,1859.644531,292.62561,599.32666,2014.52356,273.771301,315.149994,277.049988,1557.498169,395.94775400000003,842.951172,366.549988,2762.354248,1303.521118,277.450012,3475.1613770000004,165.063553,271.399994,187.280075,210.347519,185.300003
102,572.858521,340.02691699999997,463.302643,8363.699219,1293.5898439999999,1911.260986,532.700012,927.677734,1733.250488,1299.450928,239.19999700000002,1841.9907230000001,283.230743,581.102722,2000.1156010000002,276.862244,305.25,270.600006,1592.087158,387.39099100000004,827.625671,361.950012,2721.543457,1300.78418,269.450012,3482.2985840000006,163.97924799999998,266.399994,183.608887,209.608246,180.300003
103,572.3020019999999,328.90429700000004,442.465454,8280.775391,1273.2502439999998,1906.399048,528.700012,926.236633,1760.7559809999998,1297.426758,245.100006,1805.195557,286.44476299999997,566.759399,1979.249023,276.813202,296.549988,266.100006,1567.075928,381.868896,820.037354,360.200012,2665.10376,1293.866943,264.899994,3417.037598,162.007751,269.75,184.154602,209.90396099999998,175.149994
104,577.601135,329.445679,451.637817,8409.730469,1263.755127,1895.4346920000003,523.299988,921.2175900000001,1736.071411,1303.301636,254.149994,1794.980103,287.532623,567.054138,1978.503784,273.575012,307.75,269.5,1563.850342,378.436279,824.15387,361.899994,2754.613525,1280.032593,265.049988,3431.0187990000004,162.648483,278.450012,182.864731,208.129715,178.300003
105,573.584473,328.362946,450.590973,8352.253906,1255.159546,1842.299927,520.349976,906.6574099999999,1730.627686,1310.460205,263.200012,1769.2434079999998,288.472107,529.771179,1954.457397,268.325317,309.25,252.69999700000002,1555.860596,371.620758,825.0962519999999,356.799988,2719.877686,1272.1698,263.25,3404.474121,163.97924799999998,275.799988,174.182877,208.031143,176.050003
106,591.296448,325.311584,460.66058300000003,8262.746094,1274.899414,1856.6875,534.450012,910.434082,1783.946045,1321.7658689999998,268.5,1791.211426,293.960693,538.760376,1973.2871089999999,269.649994,288.950012,250.399994,1549.9552,369.332336,837.396301,371.450012,2681.56543,1284.113159,264.200012,3408.48291,162.697769,279.850006,166.344391,208.72113000000002,168.300003
107,594.659851,334.121124,465.14703399999996,8397.399414,1297.5878910000001,1899.89978,538.450012,916.0991210000001,1776.344727,1326.850952,267.0,1805.046753,293.218964,557.229919,1998.8735350000002,271.950012,294.200012,251.899994,1563.8999019999999,377.988525,850.390747,376.649994,2704.249023,1283.565796,264.950012,3471.4948729999996,162.74705500000002,276.049988,173.98443600000002,208.918274,171.75
108,587.739563,339.190247,498.197388,8553.619141,1300.48645,1902.578735,546.450012,915.35376,1733.963257,1360.2246089999999,272.25,1815.311646,295.938538,565.4822389999999,2029.328979,275.149994,296.200012,253.100006,1569.954346,376.943848,842.7527470000001,374.200012,2735.016357,1313.275024,263.350006,3516.615967,164.96499599999999,284.950012,174.579758,204.08836399999998,172.550003
109,588.780029,333.13681,497.000977,8529.204102,1282.495605,1862.988403,545.900024,911.378235,1743.316406,1362.692993,264.899994,1795.27771,287.433716,565.138367,2019.839478,273.450012,294.600006,253.100006,1560.227661,375.401611,861.7980349999999,378.25,2737.7109379999997,1293.0209960000002,262.950012,3531.7700200000004,163.437073,282.149994,174.083649,204.236206,170.300003
110,587.545959,337.763,493.26226799999995,8454.139648,1301.48584,1874.10144,539.900024,911.726074,1740.871582,1347.980957,266.899994,1778.169434,282.093475,567.9382929999999,2033.8499760000002,271.799988,288.950012,250.30000299999998,1569.6564939999998,372.71521,888.3820189999999,375.899994,2707.433594,1285.805176,260.75,3526.392578,162.944199,288.75,172.595322,206.503311,166.899994
111,596.160034,340.765167,478.706146,8385.708008,1336.318115,1932.891968,543.299988,915.651917,1741.2908940000002,1350.350708,269.200012,1813.476929,282.439606,565.3349,2136.149902,271.600006,282.899994,249.30000299999998,1601.565796,390.22668500000003,916.05719,373.799988,2696.704102,1299.440552,261.899994,3468.1220700000003,164.570679,294.5,175.968857,205.961182,169.75
112,590.522217,336.877167,481.44787599999995,8638.411133,1318.127441,1900.098267,537.150024,923.5034789999999,1728.765991,1354.0040279999998,266.75,1828.204834,286.296448,550.5002440000001,2109.550049,269.75,287.200012,248.19999700000002,1577.795044,385.20205699999997,894.2841189999999,382.600006,2834.9614260000003,1287.397705,260.450012,3542.915771,161.90916399999998,294.149994,171.603119,202.954803,173.600006
113,599.886353,340.299988,477.06112699999994,8597.34082,1303.2849119999998,1882.386597,536.049988,933.5912480000001,1741.041382,1343.142822,263.100006,1817.642334,283.03299,556.9843139999999,2046.550049,268.399994,286.649994,246.30000299999998,1550.500977,375.700134,907.228943,371.850006,2818.646973,1275.75293,260.0,3531.427979,159.592651,292.299988,169.916351,198.765594,171.800003
114,590.981934,336.700012,472.225708,8656.291992,1303.584839,1886.901489,529.799988,942.039124,1717.738159,1317.174438,263.5,1831.874512,280.758423,561.896423,2060.550049,267.299988,285.350006,246.350006,1552.188354,371.72024500000003,894.631348,363.799988,2786.850586,1267.044189,255.399994,3528.1523439999996,158.80406200000002,285.399994,169.817123,196.94206200000002,171.350006
115,597.950562,339.049988,487.380005,8715.880859,1315.328735,1901.0408940000002,530.200012,947.555115,1723.776123,1332.577759,269.899994,1839.4121089999999,280.659515,569.510193,2059.149902,270.600006,295.5,246.30000299999998,1561.0217289999998,373.809692,907.328125,380.350006,2826.436768,1257.787964,259.399994,3557.727783,160.036255,291.049988,169.023376,198.962753,174.899994
